Organization Name,Founded Year,Industries,Headquarters Location,Description,CB Rank (Company),Headerquarters Regions,Diversity Spotlight (US Only),Estimated Revenue Range,Operating Status,Exit Date,Closed Date,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Full Description,Actively Hiring,Investor Type,Investment Stage,School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Type,Total Equity Funding Amount,Total Funding Amount,Top Five Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Acquired by,Announced Date,Price,Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Money Raised at IPO,Valuation at IPO,Stock Symbol,Stock Exchange,Last Leadership Hiring Date,Last Layoff Mention Date,Number of Events,CB Rank (Organization),CB Rank (School),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),Similar Companies,Contact Job Departments,Number of Contacts,Monthly Visits,Average Visits (6 Months),Monthly Visits Growth,Visit Duration,Visit Duration Growth,Page Views / Visit,Page Views / Visit Growth,Bounce Rate,Bounce Rate Growth,Global Traffic Rank,Monthly Rank Change (#),Monthly Rank Growth,Active Tech Count,Number of Apps,Download Last 30 Days,Total Product Active,Patents Granted,Trademarks Registered,Most Popular Patent Class,Most Popular Trademark Class,IT Spend,Most Recent Valuation Range,Date of Most Recent Valuation,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (Week),Number of Alumni,Number of Private Contacts,Number of Private Notes,Tags
Manav Rachna International Institute Of Research And Studies,1997,,"Faridabad, Haryana, India",Manav Rachna International Institute Of Research And Studies (MRIIRS) (Formerly known as Manav Rachna International University),,Asia-Pacific (APAC),,,Active,,,,manavrachna.edu.in/international-institute-of-r...,https://twitter.com/manav_rachna,https://www.facebook.com/MRIIRSUniversityFaridabad/,https://www.linkedin.com/company/manav-rachna-educational-institutions,admissions@manavrachna.edu.in,+91-129-4198000,1,,"Manav Rachna International Institute Of Research And Studies (MRIIRS) (Formerly known as Manav Rachna International University) is a visible symbol of knowledge and experience providing high-quality education in the fields of Engineering &amp; Technology, Health and Applied Sciences, Management, Computer Applications, Hotel Management, International Programs, Commerce, Humanities, Media, Architecture, Design and much more. Recently, the university has been awarded 5 Star QS rating for teaching, facilities and employability and an overall rating of 3 stars and is a NAAC accredited ‘A’ Grade Institution.
MRIIRS has more than 56 global academic collaborations for Research and Academic exchange programs. The institute also has tie-ups with Indian Oil Corporation, R&amp;D Centre, Faridabad; Translational Health Science and Technology Institute, Faridabad; Council of Scientific &amp; Industrial Research – Indian Institute of Petroleum, Dehradun; and National Institute of Immunology, New Delhi.
MRIIRS have Eight Research and Innovation Clusters at the campus and have Centres of Excellence in collaboration with the reputed companies like Mitsubishi, Honda, Reliance Jio, and Sky Tester for enhancing research skills.",,,,Private,Four Year University,10001+,On Campus,12,,1,Dr. O.P Bhalla,1001-5000,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,"159,646",,0.2,1.7,5.3,1,"Finance, Information Technology, Marketing, Operations",7,"153,550","249,148.83",-64.84%,182,-43.3%,1.47,5.39%,87.71%,16.88%,"396,168","214,110",117.61%,28,,,,,,,,,,,,,,,,,,,,14,,,
Somerset Community College,2002,,"Somerset, Kentucky, United States","Somerset Community College is a community where students find confidence, collaboration, compassion and success.",,Southern US,,,Active,,,,somerset.kctcs.edu/,https://twitter.com/Somerset_Tweets,https://www.facebook.com/SomersetCC,https://www.linkedin.com/school/somerset-community-college/about/,,(877) 629-9722,4,,"Somerset Community College offers classes at two main campuses and four centers—main campuses in Somerset and Laurel County—and at four centers in Casey, Clinton, McCreary and Russell Counties. Reach any campus or center toll-free by calling (877) 629-9722.",,,,,,,,1,,,,,1,,2019-10-11,"$958,000.0",Grant,,,,"$958,000.0",Appalachian Regional Commission,,1,,,,,,,,,Private,,,,,,,,,,"159,678",,-0.2,3.2,0.6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Stanford Graduate School of Business,1925,"Education, Higher Education, Knowledge Management, Universities","Stanford, California, United States",Stanford GSB is a business management school that creates ideas that deepen and advance understanding of management.,"158,345","San Francisco Bay Area, West Coast, Western US",,,Active,,,,www.gsb.stanford.edu,http://twitter.com/stanfordbiz,http://www.facebook.com/StanfordGSB,https://www.linkedin.com/company/stanford-graduate-school-of-business/,,+1 650-723-2146,642,,"Stanford GSB is a business management school that creates ideas that deepen and advance understanding of management. It offers a general management Master of Business Administration degree, a full-time twelve-month MS in Management for mid-career executives, and a Ph.D. program, along with a number of joint degrees with other schools at Stanford University including Earth Sciences, Education, Engineering, Law and Medicine. 
The Stanford Graduate School of Business was established in 1925 in Stanford, California. It currently has 114 acedemic staff, 2,284 students, 101 doctoral students, and 882 postgraduate students.",,,,,,,,"1,612","Administrative Services, Education, Other",1,Herbert Hoover,251-500,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,4,"160,157",,0.3,-0.2,-0.3,3,,,,,,,,,,,,,,,24,,,79,,,,,,,,2,2,1,1,,,,,,"2,996",,,
High School of Commerce,,"Primary Education, Secondary Education","Springfield, Massachusetts, United States",High School of Commerce is a spirited high school that prepares students for college and careers by using personalized learning pathways.,,"East Coast, New England, Northeastern US",,,Active,,,,hscommerce.org/,,https://www.facebook.com/PathwaysHSC/,,,413-787-7220,,,High School of Commerce is a spirited high school that prepares students for college and careers by using personalized learning pathways.,,,,,,,,,Education,,,,1,,2017-03-16,"$110,000.0",Grant,,,,"$110,000.0",Massachusetts Life Sciences Center,1,1,,,,,,,,,Private,,,,,,,,,,"160,036",,-0.1,0.9,2.3,3,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,3,,,
UnCollege,2011,"Adventure Travel, Education, Service Industry","San Francisco, California, United States",UnCollege is a social movement changing the notion that going to college is the only path to success.,,"San Francisco Bay Area, West Coast, Western US",,,Active,,,,www.uncollege.org,https://www.twitter.com/uncollege,https://www.facebook.com/uncollege,https://www.linkedin.com/company/year-on/,,+14154849747,10,,UnCollege is a social movement changing the notion that going to college is the only path to success.,,,,,,,,,"Education, Other, Travel and Tourism",1,Dale Stephens,1-10,5,,2018-02-06,"$300,000.0",Venture - Series Unknown,"$300,000.0",Venture - Series Unknown,"$815,000.0","$915,000.0","Wei Guo, University Ventures",,2,,,,,,,,,Private,,,,,,,,,1,"160,150",,-0.2,-0.3,-0.3,5,,,,,,,,,,,,,,,5,,,,0,1,,Advertising; business,,,,,,,,,,,,,2,,,
The University of Texas of the Permian Basin,1969,"Education, Knowledge Management, Universities","Odessa, Texas, United States",The University of Texas of the Permian Basin is a school in Odessa.,,Southern US,,,Active,,,,www.utpb.edu/,http://twitter.com/utpb,http://www.facebook.com/64685634740,,,432-552-2020,1,,"One of two UT System schools in West Texas, the University of Texas of
the Permian Basin (UTPB) provides an alternative to the much larger
University of Texas at El Paso. Yet while it enrolls much fewer students,
UTPB still offers a wide range of academics. More than 40 undergraduate
majors are available, including unique programs like Leadership Studies
and Petroleum Engineering.
In terms of graduate studies, UTPB offers about 20 programs. These
include an MBA that can be completed on campus or online, a Master of
Professional Accountancy and several programs in the arts &amp; sciences.
UT Permian Basin’s admissions requirements vary depending on the type of
applicant. For incoming freshmen, your eligibility is based on your class
ranking and SAT/ACT scores. If you’re in the top 10% of your class, you
don’t need to send in standardized test scores (except for merit
scholarship consideration). On the other hand, if your class ranking is
low, you can make up for it with high SAT or ACT scores.
In addition to federal financial aid, UT Permian Basin funds many
scholarship programs. Merit scholarships for incoming students can earn
you up to $26,000 towards your tuition. UTPB will also match
community-based scholarships up to $1,000.",,,,,,11-50,,6,"Administrative Services, Education, Other",,,,2,,2018-02-16,"$100,000.0",Grant,,,,"$355,000.0",National Science Foundation,1,1,,,,,,,,,Private,,,,,,,,,,"160,185",,-0.1,-0.2,-0.3,1,"Engineering, Finance, Human Resources, Information Technology, Legal, Management, Marketing, Operations, Pro Services, Product, Sales","1,313","487,879","316,582.33",118.13%,398,4.74%,2.87,-37.78%,35.76%,2.14%,"178,321","-111,826",-38.54%,98,1,,,,,,,,,,,,,,,,,,,11,,,
University of Wisconsin-Platteville,1866,Education,"Platteville, Wisconsin, United States","University of Wisconsin-Platteville is a comprehensive, four-year public institution of higher education.","286,111","Great Lakes, Midwestern US",,,Active,,,,www.uwplatt.edu,https://www.twitter.com/uwplattelae,https://www.facebook.com/28090023309,https://www.linkedin.com/school/university-of-wisconsin-platteville/,admit@uwplatt.edu,6083421122,5,,,,,,,,,,11,Education,,,501-1000,1,,2020-09-16,"$538,426.0",Grant,,,,"$538,426.0","US Department of Commerce, Economic Development Administation",1,1,,,,,,,,,Private,,,,,,,,,,"160,486",,-0.1,-0.1,-0.2,3,"Engineering, Finance, Human Resources, Information Technology, Management, Marketing, Medical &amp; Science, Operations, Pro Services, Product, Sales",430,"115,753","129,049.33",29.16%,257,25.37%,3.65,36.57%,45.05%,12.71%,"488,551","-47,952",-8.94%,,,,,,,,,,,,,,,,,,,,,31,,,
University of Ghana,1948,"Education, Universities","Accra, Greater Accra, Ghana","University of Ghana is providing and promoting university education, learning, and research.",,,,,Active,,,,www.ug.edu.gh,https://twitter.com/ug_prospectus,https://www.facebook.com/ug.edu.gh,https://www.linkedin.com/edu/university-of-ghana-12827,pad@ug.edu.gh,+233-(0)302-500381,36,,"The University of Ghana, the premier university and the largest university in Ghana was founded as the University College of the Gold Coast by Ordinance on August 11, 1948 for the purpose of providing and promoting university education, learning and research. 
As a University poised to distinguish itself in the area of research to make an impact at the national and international level, the University has launched a new Strategic Plan. This new strategic plan (2014-2024) is intended to consolidate the gains made from the review of the University’s mission and practices and situate these within the context of a very dynamic environment of higher education in Ghana and beyond. 
In addition, the University has several research institutions and centres for learning and research, including Noguchi Memorial Institute for Medical Research (NMIR), Centre for Tropical, Clinical Pharmacology and Therapeutics, Regional Institute for Population Studies, Institute for Environmental and Sanitation Studies and the Institute for Statistical, Social and Economic Research. 
As part of its vision to become a world class research intensive institution, University of Ghana has identified four priority areas where the university will focus and promote international collaboration in research initiatives to enhance the University’s research output. 
As the leading university in Ghana, the University aims to produce the next generation of thought leaders to drive national development. Through our research institutes and other centres of learning and research, faculty members are involved in studies that support policy making for national development, often in collaboration with other international institutions. 
There are currently a number of Ghanaian and international institutions that hold affiliation with the University of Ghana. As a leader in tertiary education, the University has established several link agreements with universities in Africa, Europe and North America for student, faculty and staff exchange as well as collaborative research. 
The student population is over 38,000 made up of students enrolled on our regular programmes, sandwich programmes, and distance education as well as students from affiliate institutions. University of Ghana's growing number of international students come from over 70 countries to join either our regular undergraduate and graduate programmes, enroll on their study abroad and other special programmes designed for international students. 
The University of Ghana, has over the years built an image as one of the continent’s reputable universities which makes the University of Ghana the first choice for academics, researchers and students.",,,,,Graduate University,10001+,,36,"Education, Other",1,J. B. Danquah,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,"160,737",,0.0,0.6,1.7,1,"Medical &amp; Science, Pro Services",32,"383,378","1,420,902.67",-1.99%,"1,076",26.44%,6.53,18.18%,33.51%,9.94%,"211,218","14,390",7.31%,115,,,,,,,,,,,,,,,,,,,,65,,,
Whittier Regional Vocational Technical High School,1972,"Primary Education, Secondary Education","Haverhill, Massachusetts, United States",Whittier Regional Vocational Technical High School is a Vocational school.,,"Greater Boston Area, East Coast, New England",,,Active,,,,whittiertech.org/,https://twitter.com/WhittierTechHS,,https://www.linkedin.com/school/whittier-regional-vocational-technical-high-school/,,,,,Whittier Regional Vocational Technical High School is a Vocational school.,,,,,,,,1,Education,,,101-250,1,,2017-04-10,"$109,342.0",Grant,,,,"$109,342.0",Massachusetts Life Sciences Center,1,1,,,,,,,,,Private,,,,,,,,,,"160,860",,-0.1,-0.2,-0.1,5,"Finance, Management, Pro Services, Sales",39,"2,890","8,084.83",-83.79%,223,259.68%,6.33,153.33%,0%,-55.35%,"4,301,055","2,798,004",186.15%,9,,,,,,,,,,,,,,,,,,,,1,,,
Community Schools Of Frankfort,2021,,"Frankfort, Indiana, United States",Community Schools Of Frankfort is a public school.,"171,125","Great Lakes, Midwestern US",,,Active,,,,www.frankfortschools.org,https://twitter.com/csfhotdogs,https://www.facebook.com/csfhotdogs/,https://www.linkedin.com/company/community-schools-of-frankfort,,765-654-5585,,,Community Schools Of Frankfort is a public school.,,,,Public,,,,,,,,251-500,1,,2022-02-24,"$157,000.0",Grant,,,,"$157,000.0",Wabash Heartland Innovation Network,1,1,,,,,,,,,Private,,,,,,,,,,"161,969",,0.0,1.4,2.1,,,,"13,038",,89.67%,55,-80.5%,2,-63.47%,35.69%,-52.5%,"1,871,964","-686,267",-26.83%,,,,,,,,,,,,,,,,,,,,,,,,
Shawsheen Valley Regional Vocational Technical School,,,"Billerica, Massachusetts, United States",Shawsheen Valley Regional Vocational Technical School is a school in Billerica.,"176,643","Greater Boston Area, East Coast, New England",,,Active,,,,www.shawsheentech.org/,https://twitter.com/shawtech_hs,https://www.facebook.com/Shawsheen-Valley-Regional-Vocational-Technical-School-District-976080292497986/,,gbendel@shawtech.org,978-663-6272,,,"Shawsheen Valley Regional Vocational Technical School offers a unique
experience to high school students ready to receive hands-on education
and vocational training. Primarily a high school for students in grades
9-12, Shawsheen Valley Regional Vocational Technical School also offers
some adult education courses for students 18 years and older.
Shawsheen Valley Regional Vocational Technical School offers standard
high school courses to fulfill English, math, science, social science and
physical education requirements. However, Shawsheen Valley Regional
Vocational Technical School also offers vocational courses to the
career-minded in many areas including Communications, Construction,
Mechanical, Health Services, Cosmetology, Culinary Arts, Transportation
and several more. Students are able to take courses in their vocational
interests and develop their skills for a future career.
Adult education at Shawsheen Valley Regional Vocational Technical School
includes programs offering apprenticeships, licensing and courses for
self-improvement. Many professionals use adult education programs such as
this one to keep up with changing technology in their field, or to
improve existing skills.
Shawsheen Valley Regional Vocational Technical School is committed to
helping students focus on their future career goals by promoting the
required skills. Though Shawsheen Valley Regional Vocational Technical
School is a vocational high school, teachers and staff encourage students
to explore higher education after graduation as well. Whatever route you
or perhaps your child may take, Shawsheen Valley Regional Vocational
Technical School is a great place to start.",,,,,,11-50,,,,,,,1,,2017-04-10,"$110,000.0",Grant,,,,"$110,000.0",Massachusetts Life Sciences Center,1,1,,,,,,,,,Private,,,,,,,,,,"162,275",,-0.1,0.8,-0.3,3,"Management, Pro Services",12,"4,222","11,854.67",-12.21%,25,-21.88%,1.5,-25%,50%,115.24%,"3,663,636","331,351",9.94%,26,,,,,,,,,,,,,,,,,,,,,,,
